year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2023,21,HAR001,12.0,2023-05-24,2023-05-22,76.29,93.0,57.0,22.04,7.76,0.02
2023,23,HAR001,1.0,2023-06-08,2023-06-05,77.16,97.0,61.0,18.28,8.09,0.01
2023,24,HAR001,1.0,2023-06-15,2023-06-12,75.71,98.0,57.0,37.66,7.94,0.09
2023,26,HAR001,0.0,2023-06-29,2023-06-26,83.29,107.0,64.0,13.59,6.69,0.0
2023,27,HAR001,0.0,2023-07-07,2023-07-03,87.14,109.0,67.0,9.62,7.04,0.0
2023,28,HAR001,0.0,2023-07-13,2023-07-10,92.29,114.0,73.0,16.33,6.26,0.0
2023,29,HAR001,0.0,2023-07-20,2023-07-17,95.14,112.0,77.0,19.31,8.4,0.0
2023,30,HAR001,0.0,2023-07-27,2023-07-24,92.29,109.0,74.0,24.69,9.04,0.02
2023,32,HAR001,0.0,2023-08-09,2023-08-07,83.57,103.0,65.0,31.35,7.11,0.2
2023,33,HAR001,0.0,2023-08-17,2023-08-14,82.57,101.0,65.0,50.17,6.24,0.21
2023,35,HAR001,5.0,2023-08-30,2023-08-28,81.46,106.0,65.0,50.86,6.43,2.76
2023,36,HAR001,25.0,2023-09-07,2023-09-04,77.24,98.0,62.0,44.32,4.47,0.02
2024,21,HAR001,0.0,2024-05-21,2024-05-20,73.14,89.0,52.0,17.04,10.24,0.0
2024,33,HAR001,0.0,2024-08-14,2024-08-12,87.86,103.0,71.0,30.48,8.99,1.23
2023,37,HAR001-EX,91.0,2023-09-15,2023-09-11,76.86,94.0,61.0,45.56,3.95,0.04
2023,38,HAR001-EX,2.0,2023-09-20,2023-09-18,72.14,92.0,53.0,37.06,5.07,0.05
2023,39,HAR001-EX,0.0,2023-09-27,2023-09-25,71.43,91.0,52.0,33.39,6.0,0.04
2023,40,HAR001-EX,2.0,2023-10-05,2023-10-02,68.07,89.0,48.0,41.49,4.69,0.19
