date,temp,precip,precip_7d,rh,wind,weather_risk
2024-08-13 23:59:00,91.0,0.0,0.0,,13.8,0.5088
2024-08-14 23:59:00,87.0,0.0,0.0,,7.8,0.4282
2024-08-15 23:59:00,86.0,0.0,0.0,,6.1,0.4079
2024-08-16 23:59:00,87.0,0.0,0.0,,5.6,0.4269
2024-08-17 23:59:00,90.0,0.0,0.0,,12.0,0.4884
2024-08-18 23:59:00,84.0,1.21,1.21,,9.0,0.4312
2024-08-19 23:59:00,86.0,0.0,1.21,,3.5,0.4664
2024-08-20 23:59:00,90.0,0.0,1.21,,6.5,0.5452
2024-08-21 23:59:00,90.0,0.0,1.21,,12.6,0.5488
2024-08-22 23:59:00,79.0,0.11,1.32,,12.7,0.3371
2024-08-23 23:59:00,86.0,0.0,1.32,,17.2,0.4746
2024-08-24 23:59:00,83.0,0.0,1.32,,16.1,0.4162
2024-08-25 23:59:00,79.0,0.0,0.11,,9.5,0.2884
2024-08-26 23:59:00,77.0,0.0,0.11,,3.9,0.2465
2024-08-27 23:59:00,81.0,0.0,0.11,,3.8,0.3235
2024-08-28 23:59:00,83.0,0.0,0.11,,5.8,0.3632
2024-08-29 23:59:00,84.0,0.0,0.0,,4.0,0.3682
2024-09-03 23:59:00,,0.0,0.0,,0.0,
2024-09-04 23:59:00,87.0,0.0,0.0,,6.4,0.4273
2024-09-05 23:59:00,88.0,0.0,0.0,,9.1,0.4482
2024-09-07 23:59:00,86.0,0.0,0.0,,5.0,0.4073
2024-09-08 23:59:00,87.0,0.0,0.0,,8.5,0.4286
2024-09-09 23:59:00,85.0,0.0,0.0,,9.2,0.3905
2024-09-10 23:59:00,87.0,0.0,0.0,,8.1,0.4284
2024-09-11 23:59:00,86.0,0.0,0.0,,9.6,0.41
2024-09-12 23:59:00,,0.0,0.0,,0.0,
2024-09-13 23:59:00,77.0,0.0,0.0,,6.7,0.235
2024-09-14 23:59:00,78.0,0.0,0.0,,4.6,0.253
2024-09-15 23:59:00,83.0,0.0,0.0,,11.1,0.3532
2024-09-16 23:59:00,79.0,0.0,0.0,,17.6,0.2801
2024-09-17 23:59:00,70.0,0.0,0.0,,7.4,0.1007
2024-09-18 23:59:00,70.0,0.0,0.0,,6.4,0.1001
2024-09-19 23:59:00,73.0,0.0,0.0,,6.1,0.1577
2024-09-20 23:59:00,73.0,0.0,0.0,,6.8,0.1581
2024-09-21 23:59:00,75.0,0.0,0.0,,5.8,0.196
2024-09-22 23:59:00,76.0,0.0,0.0,,4.3,0.2143
2024-09-23 23:59:00,79.0,0.0,0.0,,5.1,0.2726
2024-09-24 23:59:00,79.0,0.0,0.0,,3.1,0.2714
2024-09-25 23:59:00,81.0,0.0,0.0,,5.8,0.3115
2024-09-26 23:59:00,81.0,0.0,0.0,,4.1,0.3105
2024-09-27 23:59:00,84.0,0.0,0.0,,3.6,0.3679
2024-09-28 23:59:00,85.0,0.0,0.0,,5.2,0.3881
2024-09-29 23:59:00,85.0,0.0,0.0,,4.1,0.3875
2024-09-30 23:59:00,85.0,0.0,0.0,,4.4,0.3876
2024-10-01 23:59:00,84.0,0.0,0.0,,3.6,0.3679
2024-10-02 23:59:00,82.0,0.0,0.0,,5.1,0.3303
2024-10-03 23:59:00,81.0,0.0,0.0,,2.8,0.3097
2024-10-04 23:59:00,81.0,0.0,0.0,,4.2,0.3105
2024-10-05 23:59:00,80.0,0.0,0.0,,4.2,0.2913
2024-10-06 23:59:00,81.0,0.0,0.0,,3.5,0.3101
2024-10-07 23:59:00,80.0,0.0,0.0,,3.2,0.2907
2024-10-08 23:59:00,80.0,0.0,0.0,,3.1,0.2906
2024-10-09 23:59:00,79.0,0.0,0.0,,3.5,0.2716
2024-10-10 23:59:00,76.0,0.0,0.0,,2.6,0.2133
2024-10-12 23:59:00,77.0,0.0,0.0,,5.2,0.2341
2024-10-13 23:59:00,75.0,0.0,0.0,,5.6,0.1959
2024-10-14 23:59:00,73.0,0.0,0.0,,4.3,0.1566
2024-10-15 23:59:00,73.0,0.0,0.0,,4.3,0.1566
