Site,Week_Start,Mosq_Count,DailyAverageDryBulbTemperature,DailyAverageWindSpeed,DailyPrecipitation,DailyAverageRelativeHumidity,Risk_Level
SGE017,2023-10-09,80.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,5
SGE018,2023-10-09,28.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
SPR002,2023-10-09,5.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,1
VIR008,2023-10-09,14.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
WAS001,2023-10-09,120.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,6
WAS002,2023-10-09,109.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,6
WAS008,2023-10-09,119.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,6
WAS009,2023-10-09,16.0,66.28571428571429,5.314285714285714,0.0,30.172619047619047,3
HUR008,2023-10-16,10.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
HUR009,2023-10-16,3.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
IVI001,2023-10-16,29.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
LAV001,2023-10-16,13.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
ROC004,2023-10-16,1.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SCL001,2023-10-16,5.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SCL004,2023-10-16,3.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SGE002,2023-10-16,1.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SGE003,2023-10-16,12.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
SGE007,2023-10-16,170.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,7
SGE009,2023-10-16,5.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SGE013,2023-10-16,226.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,8
SGE014,2023-10-16,11.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,2
SGE017,2023-10-16,105.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,6
SPR002,2023-10-16,3.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,1
SR-EX-MID,2023-10-16,16.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
VIR008,2023-10-16,29.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
WAS001,2023-10-16,51.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,5
WAS002,2023-10-16,22.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
WAS008,2023-10-16,27.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
WAS009,2023-10-16,15.0,70.85714285714286,3.1714285714285717,0.0,26.095238095238095,3
HUR007,2023-10-23,5.0,59.857142857142854,7.0,0.0,34.91666666666667,1
IVI001,2023-10-23,19.0,59.857142857142854,7.0,0.0,34.91666666666667,3
LAV001,2023-10-23,1.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SCL001,2023-10-23,0.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SCL004,2023-10-23,0.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SGE002,2023-10-23,3.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SGE003,2023-10-23,4.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SGE007,2023-10-23,212.0,59.857142857142854,7.0,0.0,34.91666666666667,8
SGE009,2023-10-23,1.0,59.857142857142854,7.0,0.0,34.91666666666667,1
SGE013,2023-10-23,170.0,59.857142857142854,7.0,0.0,34.91666666666667,7
